id;cliente;sexo;nascimento;endereco;bairro;cidade;estado;email;telefone
2751;Warren Kim;m;19/07/1950;101 Paris Hill Street;Chikkamagaluru (Chikmagalur);Maybeury;AY;jfriedl@mac.com;
2752;Alyvia Turner;f;18/07/1976;7909 Jennings Street;Ramanagara;Maybeury;AY;errxn@yahoo.com;(605) 243-2666
2753;Madisyn Lopez;f;28/12/1992;140 Roberts Ave.;Yadgir;Avis;TK;debest@gmail.com;(524) 368-9479
2754;Sidney Foley;m;28/10/1942;8784 East Railroad Court;Koppal;Lynchburg;RO;fwiles@live.com;(440) 706-2438
2755;Lucia Gilmore;f;03/08/1966;414 Arrowhead St.;Hassan;Maybeury;TK;ganter@mac.com;
2756;Lexi Arias;f;23/10/1942;61 South Smith Store St.;Tumakuru (Tumkur);Avis;NR;yxing@att.net;
2757;Ari Russell;m;23/01/1983;51 High Ridge St.;Chikkamagaluru (Chikmagalur);New Eucha;AR;chaikin@hotmail.com;
2758;Taniyah Valenzuela;f;17/05/1959;22 SE. Columbia St.;Belagavi (Belgaum);Avis;TK;eidac@aol.com;(872) 861-9584
2759;Dominick Acevedo;m;26/07/1984;803 Grandrose St.;Chamarajanagar;New Eucha;AR;gordonjcp@aol.com;(400) 936-9398
2760;Corinne Ward;f;08/11/1994;7666 Charles Rd.;Koppal;Avis;NR;hmbrand@sbcglobal.net;(981) 971-7028
2761;Mallory Hull;f;08/02/1954;3 Walnut Street;Dakshina Kannada;Avis;TK;rgiersig@live.com;
2762;Lilianna Lowery;f;22/01/1961;497 Catherine St.;Koppal;Avis;NR;gtewari@verizon.net;
2763;Riley Bowen;f;02/11/1987;584 West Brewery Ave.;Mysuru (Mysore);Avis;NR;hmbrand@msn.com;(239) 627-8779
2764;Braden Williamson;;16/05/2002;67 Shirley Street;Dakshina Kannada;Black Springs;RO;parksh@mac.com;
2765;Delilah Mcclure;f;02/11/1946;525 Hilldale St.;Udupi;Avis;NR;wonderkid@verizon.net;
2766;Malia Mendez;f;10/08/2000;7683 Green Lake Ave.;Chamarajanagar;Maybeury;AY;gknauss@outlook.com;(213) 906-5511
2767;Andre Soto;m;14/04/1954;9504 Fordham Dr.;Belagavi (Belgaum);Lynchburg;RO;danzigism@aol.com;
2768;Janiya Shah;f;03/02/1955;8109 Fawn Drive;Yadgir;Maybeury;AY;evans@gmail.com;(564) 600-9268
2769;Aisha Fuentes;f;07/01/1977;74 Maiden Street;Mysuru (Mysore);Avis;NR;bebing@comcast.net;(816) 764-5370
2770;Adeline Stephens;f;24/03/1977;412 Ketch Harbour St.;Davangere;Maybeury;TK;pierce@hotmail.com;
2771;Armani Bowers;f;11/07/1975;71 East Wentworth Lane;Bagalkot;Maybeury;AY;satch@verizon.net;
2772;Jaida Hardy;f;11/08/1942;66 West Williams Street;Mandya;Maybeury;AY;saridder@yahoo.ca;
2773;Isabela Carr;f;26/02/1946;9567 Sulphur Springs Drive;Gadag;Maybeury;AY;mallanmba@msn.com;(256) 264-9402
2774;Angelique Edwards;f;26/12/1942;816 Briarwood Court;Chitradurga;Lynchburg;NR;staikos@att.net;(764) 905-8820
2775;Ava Gonzalez;f;05/03/1987;16 Race Street;Kodagu;Avis;TK;neonatus@yahoo.com;
2776;Cael Foster;m;29/12/1959;4 Gonzales St.;Chamarajanagar;New Eucha;;carroll@att.net;(913) 580-4549
2777;Adrien Wagner;m;06/07/1978;9971 Cedarwood Street;Davangere;Lynchburg;RO;research@aol.com;(467) 568-7402
2778;Yair Atkinson;m;13/06/1998;284 Halifax Dr.;Bengaluru (Bangalore) Urban;Lynchburg;RO;schumer@yahoo.com;(864) 613-5032
2779;Jaylin Hartman;m;23/05/1963;788 E. Rock Creek Street;Hassan;New Eucha;AR;vlefevre@yahoo.ca;(519) 534-8933
2780;Sloane Shepherd;f;18/03/1994;99 Johnson Street;Bengaluru (Bangalore) Rural;Avis;TK;webinc@yahoo.ca;(392) 554-1036
2781;Destiney Wong;f;03/04/1983;717 Wall St.;Ballari (Bellary);Avis;NR;yumpy@sbcglobal.net;
2782;Jase Marks;m;15/05/1980;28 Canal St.;Tumakuru (Tumkur);Lynchburg;RO;specprog@outlook.com;
2783;Gavyn Flores;m;20/01/2000;97 Marconi Ave.;Kalaburagi (Gulbarga);Lynchburg;RO;gmcgath@outlook.com;
2784;Giovanna Nelson;f;21/09/1973;624 Mayfield Ave.;Bengaluru (Bangalore) Urban;Avis;NR;aprakash@icloud.com;
2785;Janiya Graves;f;17/03/1974;93 Brookside Dr.;Bengaluru (Bangalore) Rural;Maybeury;AY;stecoop@msn.com;
2786;Eden Shields;f;07/02/1987;261 Holly Lane;Mandya;New Eucha;TK;squirrel@yahoo.com;(463) 408-7662
2787;Cecilia Castillo;f;07/11/1974;9 Oak Drive;Koppal;Maybeury;AY;jbarta@outlook.com;(203) 421-5027
2788;Valeria Chan;f;23/08/1972;796 Glendale St.;Chamarajanagar;Maybeury;AY;rgiersig@me.com;(944) 531-2415
2789;Guillermo Norton;m;22/07/1987;534 Middle River Avenue;Belagavi (Belgaum);New Eucha;AR;jacks@yahoo.com;
2790;Ashanti Poole;f;07/10/1984;7013 Cherry Hill Street;Udupi;Avis;NR;scottlee@att.net;
2791;Branden Mccann;m;09/04/1968;263 Wild Rose St.;Raichur;Black Springs;AY;microfab@me.com;(613) 202-0664
2792;Haleigh Parker;f;31/07/1991;26 Lincoln St.;Haveri;New Eucha;TK;bester@verizon.net;(842) 741-2578
2793;Addison Costa;f;03/01/1987;7832 Virginia St.;Raichur;Lynchburg;NR;zavadsky@outlook.com;(268) 849-1623
2794;Emilia Pineda;f;28/03/1966;891 East Fairview Rd.;Raichur;Avis;NR;linuxhack@sbcglobal.net;
2795;Camila Wilkerson;f;21/04/1950;26 Mill St.;Davangere;Avis;TK;seano@outlook.com;(232) 834-7662
2796;Amya Andrade;f;28/10/1987;41 Summit Dr.;Chikkamagaluru (Chikmagalur);Maybeury;TK;tjensen@verizon.net;
2797;Addisyn Moore;f;15/10/1984;497 Jefferson Drive;Mandya;Avis;NR;msroth@outlook.com;(725) 515-3657
2798;Dax Castro;;06/04/1994;369 Blue Spring Street;Chikballapur;Black Springs;RO;andale@comcast.net;(309) 968-5519
2799;Deon Diaz;m;10/01/1964;150 Ridgewood St.;Yadgir;Maybeury;AY;cderoove@aol.com;(936) 528-9657
2800;Phoebe Humphrey;f;11/08/1947;7360 Princeton St.;Koppal;Maybeury;AY;uncle@msn.com;
2801;Gauge Duncan;m;27/03/1997;472 Main St.;Kodagu;New Eucha;AR;twoflower@me.com;
2802;Shyanne Nguyen;f;11/12/1943;1 SW. Walt Whitman Street;Dakshina Kannada;Avis;TK;jgmyers@msn.com;
2803;Allan Hardin;m;10/12/1940;780 Shore Drive;Yadgir;New Eucha;AR;sarahs@me.com;(557) 282-2560
2804;Martha Morris;f;03/07/1991;46 Strawberry Rd.;Dharwad;Avis;NR;chinthaka@sbcglobal.net;(319) 388-4559
2805;Giana Garcia;f;16/03/1942;7361 Old York St.;Dakshina Kannada;Avis;NR;mccurley@optonline.net;
2806;Aarav Aguilar;m;08/12/1991;971 Myrtle Ave.;Tumakuru (Tumkur);Maybeury;AY;bader@me.com;(948) 715-7774
2807;Tiffany Page;f;26/11/1982;9334 Santa Clara Ave.;Hassan;Avis;TK;weazelman@verizon.net;(228) 880-8131
2808;Cole Flores;m;28/06/1993;7479 Ketch Harbour Lane;Koppal;New Eucha;RO;ducasse@optonline.net;(579) 252-3686
2809;Trey Nichols;m;23/02/1975;9630 Edgewood Dr.;Chitradurga;Maybeury;AY;amcuri@yahoo.ca;(760) 890-1069
2810;Cindy Lawrence;f;21/04/1979;42 N. Depot Street;Shivamogga (Shimoga);Maybeury;TK;xnormal@comcast.net;
2811;Sophie Farrell;f;20/11/1953;320 W. Canal Ave.;Chikkamagaluru (Chikmagalur);Avis;TK;sarahs@icloud.com;
2812;Alyssa Daniel;f;18/04/2000;8071 Cobblestone Ave.;Kalaburagi (Gulbarga);Lynchburg;NR;cliffski@aol.com;(363) 884-6968
2813;Ralph Gamble;m;30/12/1949;40 Border St.;Kalaburagi (Gulbarga);Black Springs;RO;matthijs@comcast.net;
2814;Ashlyn Mcgee;f;26/05/1962;29 San Carlos Ave.;Raichur;New Eucha;TK;podmaster@icloud.com;(832) 822-8876
2815;Aliza Fry;f;25/06/1972;721 Sierra St.;Davangere;Avis;NR;rbarreira@outlook.com;
2816;Kaia Doyle;f;01/03/1971;219 Edgefield Ave.;Tumakuru (Tumkur);Avis;TK;gastown@outlook.com;
2817;Savanah Browning;f;24/01/1969;70 East Whitemarsh Street;Koppal;Avis;NR;sblack@yahoo.com;
2818;Cassidy Navarro;f;28/10/1966;917 Arlington Rd.;Ramanagara;Avis;TK;grolschie@gmail.com;(347) 718-0071
2819;Ricky Richards;m;01/11/1958;661 East Southampton Drive;Dharwad;New Eucha;AR;crusader@optonline.net;
2820;Camila Carlson;f;23/04/1944;32 N. Arch Avenue;Chikballapur;Avis;TK;isaacson@mac.com;
2821;Azaria Burgess;f;23/12/1971;8977 Beacon Street;Chikballapur;Maybeury;AY;peoplesr@att.net;(874) 274-4981
2822;Houston Byrd;m;19/08/1965;15 North 1st Ave.;Tumakuru (Tumkur);Maybeury;AY;kidehen@gmail.com;(486) 693-4743
2823;Ximena Donaldson;f;03/05/1973;736 NE. Valley Farms Ave.;Kolar;Maybeury;AY;kjetilk@comcast.net;
2824;Janessa Greene;f;19/10/1992;616 Saxon Road;Haveri;Maybeury;TK;leslie@sbcglobal.net;
2825;Heaven Estes;f;19/03/1948;15 East Blue Spring Street;Shivamogga (Shimoga);New Eucha;TK;marioph@hotmail.com;(974) 427-3807
2826;Mikayla Richmond;f;30/06/1999;9075 Philmont Lane;Chikkamagaluru (Chikmagalur);Maybeury;AY;jwarren@gmail.com;(593) 918-6059
2827;Michelle Murphy;f;21/10/1973;299 New Saddle Lane;Bagalkot;Avis;TK;nwiger@icloud.com;
2828;Kian Ashley;m;08/10/1943;8291 Randall Mill Street;Kolar;Lynchburg;RO;bruck@gmail.com;(830) 256-1369
2829;Rene Hardy;m;14/05/1988;8589 Gartner St.;Ballari (Bellary);Lynchburg;RO;boftx@yahoo.ca;(993) 464-8301
2830;Adrien Barrett;m;17/06/1940;767 Bohemia St.;Chitradurga;New Eucha;AR;bartlett@yahoo.com;(899) 930-5317
2831;Titus Martinez;m;13/07/1943;735 Green Avenue;Haveri;Black Springs;RO;bonmots@yahoo.ca;
2832;Kamron Kelley;m;07/11/1947;267 Galvin Dr.;Kalaburagi (Gulbarga);Lynchburg;RO;mwilson@sbcglobal.net;(341) 551-6005
2833;Cecelia Woodward;f;17/11/1993;666 East Wagon Street;Tumakuru (Tumkur);Maybeury;AY;danneng@hotmail.com;
2834;Mohamed Conner;m;01/04/1945;8613 Lookout Street;Chitradurga;Lynchburg;RO;malvar@hotmail.com;(879) 975-5311
2835;Josiah Brock;m;14/12/1980;18 Snake Hill St.;Raichur;Lynchburg;RO;budinger@hotmail.com;
2836;Adelaide Lutz;f;27/12/1989;7295 Wall Street;Ballari (Bellary);Maybeury;AY;osaru@yahoo.ca;
2837;Dayton Ramirez;m;07/11/1973;182 Fordham Road;Tumakuru (Tumkur);Lynchburg;RO;barjam@sbcglobal.net;
2838;Patience Walter;f;19/10/1997;831 West Illinois Dr.;Kalaburagi (Gulbarga);Maybeury;AY;bigmauler@live.com;(421) 602-2062
2839;Jocelynn Berger;f;02/08/1996;447 Brook Dr.;Shivamogga (Shimoga);Avis;NR;ewaters@optonline.net;(554) 432-8998
2840;Helena Sims;f;09/09/1941;841 North Argyle Road;Dakshina Kannada;Maybeury;AY;lstaf@msn.com;(274) 726-4455
2841;Mike Bishop;m;03/11/1982;381 Squaw Creek Road;Kalaburagi (Gulbarga);New Eucha;RO;ingolfke@mac.com;(861) 432-9346
2842;Kyson Galvan;m;05/08/1991;59 Glen Creek Road;Kodagu;Black Springs;RO;harpes@optonline.net;(320) 789-9729
2843;Jadyn Reilly;f;11/12/1972;8683 Manor Road;Ballari (Bellary);Avis;NR;library@aol.com;(408) 898-3744
2844;Arabella Morse;f;10/12/1965;8345 Plumb Branch Lane;Raichur;Maybeury;AY;liedra@yahoo.ca;(610) 680-5883
2845;Marianna Hickman;f;24/06/1964;9412 Lake View Ave.;Ballari (Bellary);Avis;TK;boftx@msn.com;(386) 286-4439
2846;Kristen Mckee;f;08/08/1974;50 E. Clay St.;Udupi;Maybeury;TK;aracne@optonline.net;(826) 715-6671
2847;Azul Montoya;f;02/04/1991;525 E. Jones Lane;Bagalkot;Maybeury;TK;rhialto@yahoo.ca;
2848;Marc Gilmore;m;03/07/1992;46 S. Del Monte Street;Chikkamagaluru (Chikmagalur);New Eucha;AR;cfhsoft@yahoo.ca;
2849;Aurora Clark;f;31/01/1943;102 Wood Dr.;Hassan;Avis;TK;nimaclea@outlook.com;
2850;Sydnee Jones;f;24/08/1945;447 Walnutwood Ave.;Tumakuru (Tumkur);Avis;NR;tmaek@comcast.net;(268) 755-7652
2851;Richard Aguilar;m;10/05/1943;81 Devon Drive;Dharwad;Lynchburg;RO;matloff@msn.com;(227) 507-9538
2852;Kirsten Rowland;f;18/09/1949;386 NW. White St.;Gadag;Maybeury;TK;burns@outlook.com;(974) 202-7682
2853;Tess Whitehead;f;12/01/1976;9427 Nichols Rd.;Hassan;Maybeury;AY;punkis@outlook.com;
2854;Barbara Shea;f;29/09/1960;610 Birchpond Drive;Dakshina Kannada;Maybeury;TK;harryh@gmail.com;
2855;Jenny Dorsey;;04/11/1976;124 E. Mountainview Circle;Chikballapur;Avis;TK;jaffe@yahoo.com;
2856;Matthew Zhang;m;07/09/1958;722 West Street;Bengaluru (Bangalore) Urban;Black Springs;RO;denism@gmail.com;
2857;Deandre Holt;m;14/12/1959;9854 Peninsula Street;Shivamogga (Shimoga);Maybeury;AY;mcsporran@comcast.net;(939) 444-6423
2858;Raul Hodge;m;06/08/1993;953 Applegate Avenue;Chikkamagaluru (Chikmagalur);Lynchburg;RO;ubergeeb@hotmail.com;(683) 697-8187
2859;Damaris Webb;f;24/06/1956;309 Academy Street;Raichur;Avis;TK;unreal@live.com;
2860;Molly Daniel;f;08/12/2001;676 Deerfield St.;Belagavi (Belgaum);Maybeury;AY;amichalo@me.com;
2861;Landyn Acevedo;m;18/09/1961;57 Joy Ridge Lane;Bidar;New Eucha;AR;skythe@icloud.com;
2862;Elliana Ho;f;10/10/1991;8 Valley Farms Dr.;Bagalkot;Maybeury;AY;claesjac@gmail.com;(649) 599-2198
2863;Jayvion Fleming;m;19/05/1993;70 South Galvin Dr.;Haveri;Black Springs;RO;cremonini@comcast.net;
2864;Emilia Warner;f;08/01/1996;644 John Ave.;Dakshina Kannada;Maybeury;;lpalmer@mac.com;
2865;Angelique Bell;f;19/07/1949;93 Manor Station Lane;Chikballapur;Maybeury;AY;hwestiii@outlook.com;(391) 229-0759
2866;Landon Chambers;m;02/10/1984;267 Academy Drive;Hassan;Lynchburg;RO;cremonini@live.com;(826) 896-6347
2867;Giada Sosa;f;14/06/1967;7690 Schoolhouse Drive;Shivamogga (Shimoga);Avis;NR;william@live.com;(642) 421-8327
2868;Tripp Suarez;m;05/04/1961;113 E. Fremont St.;Koppal;Maybeury;AY;knorr@optonline.net;
2869;Ashly Schneider;f;21/07/1940;8419 Locust St.;Ballari (Bellary);Lynchburg;NR;fangorn@sbcglobal.net;(856) 346-8798
2870;Cali Mahoney;f;09/06/1964;76 Mayfair Street;Mysuru (Mysore);Maybeury;AY;rnelson@aol.com;(459) 885-2234
2871;Urijah Davies;m;13/05/1996;8 North Oakland Road;Mysuru (Mysore);New Eucha;AR;choset@mac.com;(999) 828-5383
2872;Walker Torres;m;26/09/1955;359 Hilldale Drive;Tumakuru (Tumkur);New Eucha;RO;pappp@icloud.com;
2873;Alejandro Larsen;m;24/11/1984;864 King St.;Haveri;Lynchburg;RO;dkrishna@verizon.net;(854) 210-4829
2874;Triston Peterson;m;23/02/1952;9750 Constitution Street;Yadgir;Maybeury;AY;dleconte@optonline.net;(899) 922-2607
2875;Ellen Hancock;f;25/10/1946;9664 Brickell Drive;Kalaburagi (Gulbarga);Avis;TK;amimojo@msn.com;(344) 733-2795
2876;Karlee Mcdowell;f;16/01/1951;7659 North Peg Shop Street;Ballari (Bellary);Maybeury;AY;goresky@mac.com;(391) 779-7136
2877;Gloria Dean;f;04/10/1966;42 Valley View St.;Bengaluru (Bangalore) Rural;Avis;TK;cderoove@att.net;
2878;Pedro Hodge;m;22/09/1951;321 Jennings Rd.;Yadgir;New Eucha;RO;hutton@aol.com;
2879;Denise Chang;f;07/08/1994;9455 Thompson St.;Chitradurga;Avis;TK;baveja@optonline.net;(828) 293-2540
2880;Bryant Richardson;m;19/09/1974;6 Elizabeth Road;Vijayapura (Bijapur);New Eucha;AR;wetter@outlook.com;
2881;Santino Herring;m;21/06/1970;81 W. Chapel Ave.;Haveri;Lynchburg;RO;bcevc@att.net;(242) 445-1848
2882;Kailyn Rubio;f;07/08/1941;48 Goldfield Rd.;Ramanagara;Maybeury;TK;tmaek@gmail.com;
2883;Emilio Oconnor;m;21/07/1963;621 Longfellow Street;Mysuru (Mysore);Black Springs;RO;yamla@comcast.net;
2884;Diego Burns;m;30/11/1990;443 Pawnee St.;Haveri;New Eucha;AR;camenisch@sbcglobal.net;(209) 860-7492
2885;Addyson Shields;f;27/04/1960;8699 Argyle Circle;Chamarajanagar;Avis;NR;johndo@me.com;(869) 903-6581
2886;Hugh Stout;m;14/07/1997;276 Amherst Street;Yadgir;Black Springs;AY;jemarch@aol.com;(255) 836-4483
2887;Reina Combs;f;05/10/1941;294 Pin Oak Drive;Uttara Kannada (Karwar);Avis;TK;keiji@msn.com;(311) 609-1611
2888;Krish Pruitt;m;20/03/1996;936 Helen St.;Tumakuru (Tumkur);Lynchburg;RO;oechslin@verizon.net;(643) 221-7105
2889;Conor Gilmore;m;03/12/1966;75 Redwood Court;Tumakuru (Tumkur);New Eucha;RO;pgolle@aol.com;(908) 912-0465
2890;Jasper Buckley;m;13/04/2000;9 Holly Ave.;Kodagu;Lynchburg;RO;skoch@verizon.net;(322) 758-3871
2891;Marley Weeks;m;30/05/1974;875 Aspen Dr.;Davangere;Lynchburg;RO;stellaau@hotmail.com;(596) 892-6748
2892;Allyson Gomez;f;02/07/1994;95 South Cardinal Rd.;Belagavi (Belgaum);Maybeury;AY;kostas@yahoo.ca;(856) 584-9170
2893;Khalil Harrison;m;07/01/1952;9628 South Andover Road;Chikkamagaluru (Chikmagalur);Maybeury;AY;gboss@msn.com;(876) 484-1560
2894;Rigoberto Hammond;;17/04/1969;398 West Hilldale Lane;Bagalkot;Black Springs;RO;eurohack@mac.com;
2895;Kieran Mcdonald;m;11/05/1980;9996 Canterbury Dr.;Kalaburagi (Gulbarga);Lynchburg;RO;arnold@yahoo.ca;
2896;Maritza Chen;f;09/11/1979;969 West Heather St.;Ramanagara;Avis;TK;martink@comcast.net;
2897;Rigoberto Hernandez;m;07/12/1970;77 Newcastle Rd.;Chitradurga;New Eucha;RO;rhialto@yahoo.ca;(540) 201-0310
2898;Simeon Short;m;15/11/1978;46 Philmont Lane;Koppal;Black Springs;RO;esasaki@aol.com;
2899;Harper Monroe;f;03/03/1960;9569 Bowman Ave.;Hassan;Maybeury;AY;kidehen@live.com;(503) 565-1854
2900;Leticia Giles;f;28/01/1957;486 Hanover St.;Dakshina Kannada;Avis;NR;mhouston@comcast.net;(259) 426-1670
2901;Cristian Merritt;m;22/01/1969;784 Selby Street;Chikballapur;New Eucha;AR;gtaylor@optonline.net;(955) 903-6568
2902;Dante Savage;m;11/02/1996;9837 Gates St.;Mysuru (Mysore);Maybeury;AY;sfoskett@aol.com;(263) 983-2595
2903;Hailee Gaines;f;04/12/1983;83 Livingston Street;Bengaluru (Bangalore) Urban;Lynchburg;NR;tkrotchko@me.com;(975) 207-8216
2904;Leila Shields;f;13/11/1984;27 Jackson Road;Ramanagara;New Eucha;TK;frostman@yahoo.com;(651) 959-1294
2905;Elsa Summers;f;03/06/2002;44 Sheffield Street;Haveri;Maybeury;TK;chunzi@gmail.com;
2906;Alaina Cardenas;f;13/08/1949;764 Cactus Dr.;Udupi;Maybeury;AY;temmink@me.com;(912) 843-8153
2907;Faith Case;f;25/01/1959;454 East Indian Spring Drive;Belagavi (Belgaum);Maybeury;TK;dkeeler@mac.com;(256) 651-8746
2908;Braeden Mora;m;06/01/1972;8559 Brickell Lane;Uttara Kannada (Karwar);Lynchburg;RO;gerlo@mac.com;(926) 976-8952
2909;Janet Morton;f;26/05/1962;70 Front St.;Mandya;Avis;NR;martink@yahoo.com;
2910;Daniella Sutton;f;30/06/1959;908 Bohemia Ave.;Chitradurga;Maybeury;AY;tristan@me.com;(715) 958-8982
2911;Brice Foley;m;22/06/1987;14 South New Road;Koppal;Maybeury;AY;jusdisgi@sbcglobal.net;(869) 642-6026
2912;Sebastian Bruce;m;18/07/1960;80 Williams Drive;Bagalkot;New Eucha;AR;csilvers@yahoo.ca;(390) 928-4301
2913;Milton Strong;m;28/02/1979;7268 Rock Maple St.;Bengaluru (Bangalore) Rural;New Eucha;AR;kjetilk@me.com;
2914;Connor Hoffman;m;13/11/1974;470 Tower St.;Hassan;New Eucha;AR;mbswan@outlook.com;
2915;Kristin Huynh;f;17/02/1942;166 Fremont Drive;Yadgir;New Eucha;TK;zwood@verizon.net;
2916;Christian Mclaughlin;m;26/07/1993;37 Highland Dr.;Davangere;Black Springs;RO;bryanw@live.com;
2917;Ashlyn Strong;f;29/12/1991;7966 Marconi Circle;Chikkamagaluru (Chikmagalur);Maybeury;AY;iapetus@yahoo.com;(642) 340-9143
2918;Paxton Doyle;m;05/02/1983;215 53rd Ave.;Chamarajanagar;Black Springs;AY;agolomsh@yahoo.com;
2919;Essence Huff;f;09/01/1996;7270 Glenholme Street;Shivamogga (Shimoga);Avis;NR;errxn@verizon.net;
2920;Kasey Mcdowell;f;19/07/1954;25 Henry Smith St.;Vijayapura (Bijapur);Avis;TK;ianbuck@verizon.net;
2921;Dylan Mccann;m;17/06/1954;235 Elizabeth Drive;Vijayapura (Bijapur);Black Springs;AY;froodian@icloud.com;(836) 269-1214
2922;Tristin Stephenson;m;21/07/1956;7604 Acacia Ave.;Ramanagara;New Eucha;RO;starstuff@yahoo.ca;(228) 897-7268
2923;Celeste Newton;f;11/08/1980;99 Bow Ridge Street;Belagavi (Belgaum);Avis;TK;luvirini@aol.com;(479) 252-2061
2924;Ali Rowland;m;28/05/2000;9 6th Lane;Dharwad;Lynchburg;RO;dmath@gmail.com;(915) 413-2540
2925;Kamden Oconnell;m;30/06/1978;490 Cobblestone Street;Kolar;Black Springs;RO;gfody@mac.com;
2926;Turner Maynard;m;14/10/1992;383 NW. Albany Rd.;Mandya;Black Springs;RO;mdielmann@att.net;
2927;Addison Whitehead;m;31/01/1979;4 East Pheasant St.;Bengaluru (Bangalore) Urban;New Eucha;RO;liedra@comcast.net;(883) 605-3980
2928;Ismael Cunningham;m;19/10/1980;49 S. Wagon Street;Kalaburagi (Gulbarga);Black Springs;RO;malvar@gmail.com;
2929;Abraham Gibbs;m;06/10/2001;32 Roosevelt Rd.;Tumakuru (Tumkur);New Eucha;RO;dmouse@sbcglobal.net;
2930;Makhi Preston;m;22/04/1964;50 Shore Street;Bengaluru (Bangalore) Urban;Black Springs;RO;sonnen@live.com;(384) 414-5203
2931;Amirah Rush;f;09/08/1962;904 Winchester St.;Yadgir;Maybeury;AY;codex@verizon.net;(447) 653-2165
2932;Lisa Guzman;f;22/10/1994;7492 Smith Store Drive;Chitradurga;Avis;NR;pavel@icloud.com;(566) 406-2441
2933;Payton Downs;f;24/11/1953;921 East Street;Bidar;Avis;TK;dobey@outlook.com;(786) 624-3661
2934;Keyon Cantrell;m;30/05/1941;997 Mill Pond Dr.;Chitradurga;Lynchburg;RO;ghost@aol.com;(902) 373-0574
2935;Bria Hendrix;f;19/08/1999;716 N. Sunset Drive;Hassan;Maybeury;AY;gfxguy@hotmail.com;
2936;Mallory Burnett;f;13/01/1999;72 Wintergreen Avenue;Raichur;Maybeury;AY;sburke@att.net;
2937;Annie Tyler;f;22/11/1961;854 N. Tanglewood St.;Uttara Kannada (Karwar);Avis;NR;bjornk@outlook.com;(853) 463-9838
2938;Zachariah Curtis;m;14/12/1943;9351 New St.;Mysuru (Mysore);Lynchburg;RO;smeier@att.net;(812) 223-4570
2939;Shayna Townsend;f;19/09/1998;7536 Tower St.;Chikkamagaluru (Chikmagalur);Maybeury;AY;kingjoshi@me.com;(465) 210-1734
2940;Sadie Anthony;f;22/02/1989;642 Vermont Lane;Koppal;Avis;NR;galbra@mac.com;
2941;Jessie Lutz;f;03/04/1967;24 Princeton Lane;Koppal;Avis;TK;twoflower@sbcglobal.net;(340) 639-8268
2942;Gilbert Frey;m;15/02/1968;7 Holly Street;Koppal;New Eucha;AR;claesjac@msn.com;
2943;Josh Schmidt;m;06/07/1995;571 E. Rock Maple Lane;Dakshina Kannada;New Eucha;AR;comdig@aol.com;(805) 563-9200
2944;Molly Krause;f;12/07/1989;418 Pennington Court;Koppal;Maybeury;TK;matloff@att.net;
2945;Antoine Medina;m;05/10/1947;7276 Swanson Street;Koppal;Black Springs;RO;alastair@aol.com;
2946;Enzo Allison;m;16/02/1950;9446 Grove Dr.;Koppal;Lynchburg;RO;lipeng@gmail.com;(677) 942-0528
2947;Shannon Li;f;04/01/2002;587 Rockland Rd.;Shivamogga (Shimoga);Avis;NR;jrkorson@yahoo.ca;(405) 653-4710
2948;Megan Aguilar;f;19/01/1943;72 Galvin St.;Chikballapur;Avis;NR;kmself@live.com;
2949;Kale Ford;m;25/06/1989;97 Nut Swamp Court;Kodagu;Lynchburg;RO;pkplex@att.net;(656) 877-4643
2950;Waylon Haynes;m;30/12/1942;642 Wild Horse St.;Koppal;New Eucha;AR;benits@aol.com;
2951;Nathaly Richardson;f;04/12/1963;7014 NE. Wood Street;Uttara Kannada (Karwar);Avis;NR;tokuhirom@msn.com;
2952;Quinn Cruz;f;27/02/1999;7829 Madison Avenue;Bidar;Maybeury;AY;sriha@icloud.com;(667) 874-3554
2953;Jillian Carroll;f;27/04/1976;15 Poor House Road;Chitradurga;Avis;TK;murty@mac.com;(780) 298-4794
2954;Heath Salas;m;05/09/1985;7256 Richardson Avenue;Hassan;Black Springs;RO;cantu@comcast.net;
2955;Alina Rasmussen;f;01/02/1971;8898 Vale Street;Kalaburagi (Gulbarga);Avis;NR;hwestiii@icloud.com;
2956;Ty Kelly;m;23/01/1992;83 Eagle St.;Mandya;Lynchburg;RO;bruck@msn.com;(747) 510-8305
2957;Shyann Pollard;f;19/09/1980;49 Heather Avenue;Belagavi (Belgaum);Maybeury;TK;ehood@sbcglobal.net;(427) 628-9489
2958;Evelin Melendez;f;02/10/1953;15 Glenridge Rd.;Chikballapur;Avis;TK;scato@icloud.com;(888) 893-0065
2959;Blaze Torres;m;02/06/2001;130 East Livingston Dr.;Ballari (Bellary);Maybeury;AY;privcan@yahoo.com;
2960;Mike Huber;m;03/06/1955;7704 Arlington Lane;Dharwad;;RO;killmenow@aol.com;(867) 641-0603
2961;Charles Humphrey;m;27/10/1977;25 South Second Dr.;Kalaburagi (Gulbarga);Black Springs;AY;kosact@optonline.net;
2962;Haiden Strong;m;07/04/1970;462 West Border St.;Tumakuru (Tumkur);Black Springs;RO;louise@msn.com;(636) 515-7733
2963;Lyla Craig;f;22/04/1989;607 Virginia Street;Mandya;Avis;NR;microfab@me.com;
2964;Cloe Conway;f;01/12/1998;8292 Mill Pond Ave.;Belagavi (Belgaum);Lynchburg;NR;dcoppit@comcast.net;(321) 551-2213
